Timestamp,Encoder_Reading
12:33:14.313592,0.00
12:33:14.411608,0.00
12:33:14.509936,0.00
12:33:14.612442,0.00
12:33:14.710600,0.00
12:33:14.813029,0.00
12:33:14.911341,0.00
12:33:15.013754,0.00
12:33:15.112181,0.00
12:33:15.210592,0.00
12:33:15.313004,0.00
12:33:15.411231,0.00
12:33:15.509580,0.00
12:33:15.611969,0.00
12:33:15.710269,0.00
12:33:15.812765,0.00
12:33:15.911202,0.00
12:33:16.009437,0.00
12:33:16.112055,0.00
12:33:16.210236,0.00
12:33:16.312827,0.00
12:33:16.410780,0.00
12:33:16.513130,0.00
12:33:16.611533,0.00
12:33:16.709751,0.00
12:33:16.812212,0.00
12:33:16.910579,0.00
12:33:17.012900,0.00
12:33:17.114243,0.00
12:33:17.209900,0.00
12:33:17.311997,0.00
12:33:17.410585,0.00
12:33:17.513127,0.00
12:33:17.611268,0.00
12:33:17.709676,0.00
12:33:17.812176,0.00
12:33:17.910613,0.00
12:33:18.013045,0.00
12:33:18.111276,0.00
12:33:18.213595,0.00
12:33:18.311755,0.00
12:33:18.410080,0.00
12:33:18.512304,0.00
12:33:18.610709,0.00
12:33:18.712913,0.00
12:33:18.811339,0.00
12:33:18.909705,0.00
12:33:19.012264,0.00
12:33:19.110642,0.00
12:33:19.208864,0.00
12:33:19.311121,0.00
12:33:19.409716,0.00
12:33:19.511998,0.00
12:33:19.610548,0.00
12:33:19.712626,0.00
12:33:19.811155,0.00
12:33:19.909423,0.00
12:33:20.011879,0.00
12:33:20.110189,0.00
12:33:20.212639,0.00
12:33:20.310898,0.00
12:33:20.409115,0.00
12:33:20.511495,0.00
12:33:20.609793,0.00
12:33:20.712201,0.00
12:33:20.810564,0.00
12:33:20.908868,0.00
12:33:21.011318,0.00
12:33:21.109824,0.00
12:33:21.212017,0.00
12:33:21.310546,0.00
12:33:21.412752,0.00
12:33:21.511102,0.00
12:33:21.609675,0.00
12:33:21.712010,0.00
12:33:21.810340,0.00
12:33:21.912555,0.00
12:33:22.010894,0.00
12:33:22.109358,0.00
12:33:22.211705,0.00
12:33:22.310006,0.00
12:33:22.412326,0.00
12:33:22.510680,0.00
12:33:22.613035,0.00
12:33:22.711581,0.00
12:33:22.809826,0.00
12:33:22.912279,0.00
12:33:23.010465,0.00
12:33:23.108994,0.00
12:33:23.211249,0.00
12:33:23.309701,0.00
12:33:23.411911,0.00
12:33:23.510497,0.00
12:33:23.608594,0.08
12:33:23.711239,0.16
12:33:23.809561,0.16
12:33:23.911751,0.16
12:33:24.010291,0.17
12:33:24.108418,0.43
12:33:24.211024,0.50
12:33:24.309336,1.56
12:33:24.411563,2.91
12:33:24.509946,4.52
12:33:24.612567,6.43
12:33:24.710748,8.35
12:33:24.809161,10.43
12:33:24.911415,12.63
12:33:25.009921,14.76
12:33:25.112318,16.82
12:33:25.210437,18.72
12:33:25.308973,20.52
12:33:25.411176,22.18
12:33:25.509596,23.87
12:33:25.611939,25.52
12:33:25.710271,27.25
12:33:25.812708,29.02
12:33:25.910993,30.73
12:33:26.009556,32.64
12:33:26.111745,34.76
12:33:26.210270,36.91
12:33:26.312534,38.98
12:33:26.411005,40.91
12:33:26.509301,42.45
12:33:26.611743,43.71
12:33:26.709908,44.88
12:33:26.808382,46.10
12:33:26.910607,47.36
12:33:27.008918,48.55
12:33:27.111325,49.76
12:33:27.209648,50.98
12:33:27.308029,52.36
12:33:27.410432,53.79
12:33:27.508917,54.75
12:33:27.611136,54.76
12:33:27.709660,54.76
12:33:27.811871,54.76
12:33:27.910263,54.76
12:33:28.008707,54.76
12:33:28.110987,54.66
12:33:28.209500,53.90
12:33:28.311683,53.03
12:33:28.409935,51.99
12:33:28.508413,50.80
12:33:28.610737,49.29
12:33:28.709075,47.68
12:33:28.811669,45.89
12:33:28.909784,43.97
12:33:29.012310,42.06
12:33:29.110757,40.01
12:33:29.209076,37.87
12:33:29.311298,35.83
12:33:29.409794,33.95
12:33:29.512222,32.18
12:33:29.610400,30.37
12:33:29.708669,28.36
12:33:29.811301,26.23
12:33:29.909405,24.05
12:33:30.011711,21.76
12:33:30.110362,19.38
12:33:30.208566,17.08
12:33:30.310996,14.86
12:33:30.409463,12.84
12:33:30.507545,11.03
12:33:30.609913,9.24
12:33:30.708457,7.53
12:33:30.810681,5.70
12:33:30.909191,3.81
12:33:31.011404,1.97
12:33:31.109963,0.19
12:33:31.208371,358.50
12:33:31.310749,356.86
12:33:31.408833,355.24
12:33:31.511313,353.66
12:33:31.609567,352.03
12:33:31.708128,350.44
12:33:31.810510,348.72
12:33:31.908637,346.93
12:33:32.011476,345.09
12:33:32.109351,343.10
12:33:32.211801,341.04
12:33:32.310107,339.07
12:33:32.408449,336.99
12:33:32.511015,334.64
12:33:32.609205,332.00
12:33:32.711792,329.35
12:33:32.810014,327.36
12:33:32.908482,326.16
12:33:33.010881,325.57
12:33:33.109189,325.00
12:33:33.211593,324.34
12:33:33.309773,323.12
12:33:33.407960,321.33
12:33:33.510429,319.25
12:33:33.609006,317.20
12:33:33.711226,315.37
12:33:33.809489,313.80
12:33:33.911794,312.29
12:33:34.010261,310.81
12:33:34.108802,309.27
12:33:34.210962,307.79
12:33:34.309427,306.54
12:33:34.411654,305.25
12:33:34.510172,303.76
12:33:34.608596,302.18
12:33:34.710863,300.71
12:33:34.813207,299.22
12:33:34.907492,298.07
12:33:35.009893,297.69
12:33:35.108384,297.69
12:33:35.210781,297.69
12:33:35.308912,297.69
12:33:35.411334,297.69
12:33:35.509657,297.69
12:33:35.608195,297.69
12:33:35.710615,297.69
12:33:35.808864,297.69
12:33:35.911188,297.68
12:33:36.009682,297.68
12:33:36.107859,297.68
12:33:36.210250,297.61
12:33:36.308750,296.59
12:33:36.410921,294.69
12:33:36.509389,292.25
12:33:36.607689,289.75
12:33:36.710196,287.62
12:33:36.808518,285.66
12:33:36.910748,283.45
12:33:37.009277,281.09
12:33:37.111458,278.67
12:33:37.209770,276.28
12:33:37.308161,273.94
12:33:37.410517,271.52
12:33:37.509093,269.11
12:33:37.611139,266.66
12:33:37.709601,264.37
12:33:37.808173,262.39
12:33:37.910515,260.61
12:33:38.008925,259.10
12:33:38.110931,257.68
12:33:38.209634,256.26
12:33:38.307759,254.88
12:33:38.410076,253.38
12:33:38.508642,251.84
12:33:38.611165,250.16
12:33:38.709194,248.56
