X_Pos,Y_Pos,Z_Pos,X_Vel,Y_Vel,Z_Vel,q0,qx,qy,qz,omega_x,omega_y,omega_z,EKFElapsedTime,RefreshRate,TimeStamps
0,0,0,0,0,0,1,0,0,0,0,0,0,0.021984916,45.485732126518,11:54:52.214
0.00285470039698701,-0.00233336215308943,0.00993669783752086,8.00300904507095e-08,-6.54146348660034e-08,2.78570328327763e-07,0.999417964671484,0.0329618931773931,0.00858494270786311,-0.00188261753260193,9.11194673051465e-07,2.37321139975729e-07,-5.20428562141108e-08,0.054375666,30.8730115850976,11:54:52.473
0.00245298093928266,-0.00170908188274419,0.00853544204114322,-0.00171281170056604,0.00255526931946299,-0.00528056688681389,0.999432654315827,0.0330563785958984,0.00632185988999175,-0.00129592008926796,-0.0019567120302654,-0.00889678834755404,0.00426224941348842,0.296744541,4.12594232654667,11:54:52.510
0.00246430077506537,-0.00156704697265873,0.00788071088182566,0.000868394098143626,0.00376018987998786,-0.0180708277329045,0.99942882738176,0.0332384462491227,0.00591512666787055,-0.00149531460469212,-0.00104629462468969,-0.0105619413012001,8.16456564180779e-05,0.330825708,29.3417182574763,11:54:52.536
0.00232768243041375,-0.00168477603056277,0.00815486553008443,-0.00407085388992857,-0.00197478579722156,6.83671530397195e-06,0.999444256053757,0.0327586571604461,0.00603794565878491,-0.0012619962035563,-0.00523388518199177,-0.00869939682139751,0.00440413854035685,0.363302833,30.7909028277595,11:54:52.576
0.0019782286015119,-0.00166468515561796,0.00860164779987873,-0.0100257388291161,-8.61694051318661e-05,0.0086984809912075,0.999477941760569,0.0317500758417556,0.00588181561099598,-0.00108667530439668,-0.0170323066735419,-0.0116474577693051,0.00597664868963713,0.395120292,31.429285412138,11:54:52.617
0.00201874674558444,-0.00182628497401121,0.00913913487289866,-0.000949963915192371,-0.00313932537937364,0.00951465153550294,0.999497602872166,0.0309200379205859,0.00688741119636188,-0.00102794688386821,-0.0207454788387694,0.00344761195703428,0.00408918361493419,0.439390208,22.5887033533111,11:54:52.652
0.00201451418183855,-0.00236658478538792,0.0108445193360746,-0.000293789908617254,-0.0168403405999689,0.0490280557083147,0.99944954836242,0.0325068623111811,0.00634507941119786,-0.00190896519135205,0.000969338897619063,-0.00192883483786384,-0.00879105465611887,0.469608416,33.0926307741346,11:54:52.678
0.00229067463978776,-0.00259650150562178,0.0117432353536264,0.00874751678298481,-0.0111741300561235,0.0421604008752329,0.999417881632734,0.0334760646518256,0.00613780155031123,-0.00236185526529894,0.0113411575991794,-0.00255666677654989,-0.0132418058871221,0.495022124,39.3488427584042,11:54:52.703
0.00220779608092328,-0.0028204906611003,0.0122938255734475,0.00181098529781798,-0.0092290398668447,0.0299010845190332,0.999414827306816,0.033541260153965,0.00620910559159615,-0.00253650040870054,0.0103750861990225,-0.00100110875359019,-0.0134640898072241,0.520580749,39.1257354415584,11:54:52.729
0.00251279468151877,-0.00273339552019629,0.0118812252080484,0.00987881339980999,-0.000572934628195462,0.00352438993425652,0.99939547410145,0.0341646976534623,0.0058306541505502,-0.00273189530590536,0.0150847449026897,-0.00418699753104406,-0.013542964600688,0.545972915,39.3822252107205,11:54:52.753
0.00304971448460578,-0.00220441700966582,0.011119900379901,0.0191503302831037,0.0146347300542114,-0.0177253697565871,0.999396576364262,0.0340978294092637,0.00595198994055512,-0.00289741207218098,0.0126635170184466,-0.00247063706449253,-0.0137381606971286,0.56968129,42.1791877342922,11:54:52.779
0.00296650491277198,-0.00200045689772814,0.0101581674517717,0.00440382513943424,0.0099158146087627,-0.030209319161703,0.999395740806843,0.0339790168203447,0.00674536612231952,-0.00284248288299528,0.0105755488416566,0.00500044681744029,-0.011246712197786,0.596043832,37.9326090784417,11:54:52.803
0.00272507196696314,-0.00170781732473033,0.00876264824867215,-0.00496116715582133,0.0121002261949315,-0.0459407926855056,0.99938516447038,0.0343138884262097,0.00674837991102553,-0.00251186507639429,0.0125579658549472,0.00473890888195286,-0.00587843492837092,0.619725123,42.227427550297,11:54:52.827
0.00254015250161772,-0.00148294141373211,0.00792768900045298,-0.00725168811386615,0.0105708799715791,-0.0381827738163555,0.999380194433282,0.0345715459419398,0.00618653926730755,-0.00240039946118861,0.0131543197880731,-0.000641111783387239,-0.00363284393755433,0.643932748,41.3092982066601,11:54:52.851
0.00221161396466313,-0.00138035426754286,0.0074009843992895,-0.012046196977858,0.00686895496794295,-0.0297591403605165,0.999396665755439,0.0340739940902578,0.00638320796414436,-0.00212651351615639,0.00766539168521744,0.000769874925870139,-0.000368378194986279,0.668471498,40.7518720391218,11:54:52.876
0.00216580273921168,-0.00149539005749591,0.00777324235647209,-0.00673817885943098,-0.000674010654835586,-0.00469980601377842,0.999414304740866,0.0335897737491603,0.00617842757059906,-0.0021451367245557,0.00267996648170786,-0.0015019443567583,-0.000666760905705638,0.692784248,41.1306824608487,11:54:52.900
0.00220288559014673,-0.00155692198438206,0.00805247473943561,-0.00191396486757701,-0.00188688682640787,0.00392881211314045,0.99942908143915,0.033177363817289,0.00600897617961922,-0.00216007155067349,-0.00108826163043708,-0.00311249425849668,-0.000850801602594515,0.716876664,41.5068376704105,11:54:52.925
0.0024711320991545,-0.00182577492508488,0.00844659176760763,0.00584655418005708,-0.00770693044058802,0.0104747434376545,0.999434391343187,0.0330411972337486,0.00588219810340177,-0.0021392595228087,-0.00213663407497987,-0.00390601992948698,-0.000539707151849952,0.741659622,40.3503084660031,11:54:52.948
